# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.06914369964067557,0.011952127999999895,0.1728592491016889,2.4999999999999996,0.0,0.0,Infinity,0.0,0.0,0.0
 0.09758898298476107,0.023809023999999956,0.4168317065635914,8.576903752749246,0.0,0.0,Infinity,0.0,0.0,0.0
 0.1192836216754002,0.035571456,0.5421815116504031,5.777916234249062,0.0,0.0,Infinity,0.0,0.0,0.0
 0.1374630015676947,0.04724019200000007,0.6418665581077369,5.4834129133076885,0.0,0.0,Infinity,0.0,0.0,0.0
 0.15338318030344789,0.05881599999999998,0.7271154546778558,5.354770067918196,0.0,0.0,Infinity,0.0,0.0,0.0
 0.16768977070769706,0.07029964799999999,0.8026823775278615,5.281965913245255,0.0,0.0,Infinity,0.0,0.0,0.0
 0.18076714745771696,0.08169190399999993,0.8711422954135347,5.234988575638379,0.0,0.0,Infinity,0.0,0.0,0.0
 0.19286631224762904,0.09299353599999982,0.9340836492633656,5.202123860839513,0.0,0.0,Infinity,0.0,0.0,0.0
 0.20416200625973502,0.10420531200000016,0.9925707962684098,5.177826784468626,0.0,0.0,Infinity,0.0,0.0,0.0
 0.214781749690238,0.1153280000000001,1.0473593898749336,5.1591259209855345,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2248220345072966,0.1263623680000001,1.0990094604938354,5.144283410282101,0.0,0.0,Infinity,0.0,0.0,0.0
 0.23435800306368892,0.13730918400000003,1.147950093927464,5.1322142207381605,0.0,0.0,Infinity,0.0,0.0,0.0
 0.24344955617129405,0.1481692160000001,1.1945188980874581,5.122205591148018,0.0,0.0,Infinity,0.0,0.0,0.0
 0.25214538028684974,0.15894323200000016,1.23898734114536,5.113769835610363,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2604857001833306,0.169632,1.2815777011754528,5.106561925527987,0.0,0.0,Infinity,0.0,0.0,0.0
 0.26850421821639986,0.18023628800000013,1.3224747959993215,5.1003308410861745,0.0,0.0,Infinity,0.0,0.0,0.0
 0.27622951616364255,0.19075686400000014,1.3618343359501104,5.094889571843254,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2836860913051608,0.20119449600000006,1.3997890186720054,5.0900959222637105,0.0,0.0,Infinity,0.0,0.0,0.0
 0.2908951371198908,0.21154995200000015,1.4364530710626333,5.085839836905124,0.0,0.0,Infinity,0.0,0.0,0.0
 0.29787514162816625,0.22182400000000024,1.471925696870142,5.082034798896257,0.0,0.0,Infinity,0.0,0.0,0.0
 0.30464235293208997,0.23201740800000015,1.5062937364006408,5.078611851616309,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3112111463299476,0.24213094400000013,1.5396337481550886,5.075515354969347,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3175943173295141,0.2521653760000002,1.5720136591486573,5.072699916039827,0.0,0.0,Infinity,0.0,0.0,0.0
 0.32380331808059043,0.262121472,1.6034940885252609,5.070128131510761,0.0,0.0,Infinity,0.0,0.0,0.0
 0.329848450049413,0.27200000000000024,1.634129420325014,5.067768901945112,0.0,0.0,Infinity,0.0,0.0,0.0
 0.33573902245643117,0.28180172800000003,1.663968681264618,5.065596155655876,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3414834836415958,0.2915274240000001,1.693056265245061,5.063587870619289,0.0,0.0,Infinity,0.0,0.0,0.0
 0.34708953081301674,0.30117785600000024,1.7214325361365284,5.061725316213322,0.0,0.0,Infinity,0.0,0.0,0.0
 0.352564202380219,0.3107537920000001,1.7491343329830913,5.059992459185897,0.0,0.0,Infinity,0.0,0.0,0.0
 0.35791395614029936,0.3202560000000003,1.776195396301292,5.05837549386465,0.0,0.0,Infinity,0.0,0.0,0.0
 0.36314473588364193,0.3296852480000001,1.8026467300598479,5.056862467249094,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3682620284525682,0.33904230400000035,1.8285169108405206,5.055442977359567,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3732709128769614,0.3483279360000002,1.8538323533238288,5.054107928708124,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3781761028938768,0.3575429120000002,1.8786175394270939,5.052849332603635,0.0,0.0,Infinity,0.0,0.0,0.0
 0.38298198391047084,0.36668800000000035,1.9028952170108793,5.051660143053496,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3876926452745784,0.3757639680000002,1.9266865729626244,5.050534120966743,0.0,0.0,Infinity,0.0,0.0,0.0
 0.39231190856256204,0.3847715840000001,1.9500113845928548,5.049465721277843,0.0,0.0,Infinity,0.0,0.0,0.0
 0.396843352470468,0.39371161600000026,1.9728881525825832,5.0484499984244815,0.0,0.0,Infinity,0.0,0.0,0.0
 0.40129033479514564,0.4025848320000003,1.995334218164042,5.0474825269484045,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4056560119115703,0.4113920000000002,2.0173658667667778,5.046559334369377,0.0,0.0,Infinity,0.0,0.0,0.0
 0.40994335608715515,0.4201338880000003,2.0389984199968216,5.045676844241902,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4141551709202725,0.42881126400000036,2.0602463175185686,5.044831827523747,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4182941051461281,0.43742489600000023,2.0811231901660077,5.044021361108596,0.0,0.0,Infinity,0.0,0.0,0.0
